codigo,descripcion,proveedor,kg,ean,categoria,tipo,arriba,abajo,precio
2511150,Maxi Adult 5+ ,royal,15,7790187004092,Maxi,perro,0,0,0
2621030,Medium Adult,royal,3,7790187003972,Medium,perro,0,0,0
2621075,Medium Adult,royal,7.5,7790187003989,Medium,perro,0,0,0
2621150,Medium Adult,royal,15,7790187003965,Medium,perro,0,0,0
2622030,Medium  Adult 7+,royal,3,7790187004016,Medium,perro,0,0,0
2622150,Medium  Adult 7+,royal,15,7790187004009,Medium,perro,0,0,0
2623030,Medium Weight Care,royal,3,7790187004047,Medium,perro,0,0,0
2623150,Medium Weight Care,royal,15,7790187004054,Medium,perro,0,0,0
2624030,Medium Dermacomfort,royal,3,7790187004023,Medium,perro,0,0,0
2624150,Medium Dermacomfort,royal,15,7790187004030,Medium,perro,0,0,0
2633150,Medium Ageing 10+,royal,15,7790187004061,Medium,perro,0,0,0
2707150,Giant Adult,royal,15,7790187004160,Giant,perro,0,0,0
2811020,Hypoallergenic,royal,2,7790187339316,Veterinary Diet Cat (SECOS),gato,0,0,0
2911020,Hypoallergenic,royal,2,7790187339279,Veterinary Diet Dog (SECOS),perro,0,0,0
2911100,Hypoallergenic,royal,10,7790187339286,Veterinary Diet Dog (SECOS),perro,0,0,0
2911150,Hypoallergenic,royal,15,7790187339293,Veterinary Diet Dog (SECOS),perro,0,0,0
2927020,Hypoallergenic Small Dog,royal,2,7790187339309,Veterinary Diet Dog (SECOS),perro,0,0,0
3002020,Skin Care Adult Dog,royal,2,7790187004498,Veterinary Diet Dog (SECOS),perro,0,0,0
3002100,Skin Care Adult Dog,royal,10,7790187004504,Veterinary Diet Dog (SECOS),perro,0,0,0
3212120,Boxer Adulto,royal,12,7790187000278,Breed Health Nutrition,perro,0,0,0
3363015,Persian,royal,1.5,7790187339422,Feline Breed Nutrition,gato,0,0,0
3363075,Persian,royal,7.5,7790187339439,Feline Breed Nutrition,gato,0,0,0
3364015,Siamese,royal,1.5,7790187339446,Feline Breed Nutrition,gato,0,0,0
3364075,Siamese,royal,7.5,7790187339453,Feline Breed Nutrition,gato,0,0,0
3375004,Light,royal,0.4,7790187005051,Feline Care Nutrition ,gato,0,0,0
3375015,Light,royal,1.5,7790187005068,Feline Care Nutrition ,gato,0,0,0
3375075,Light,royal,7.5,7790187005075,Feline Care Nutrition ,gato,0,0,0
3376020,Hair & Skin Care,royal,2,7790187005235,Feline Care Nutrition ,gato,0,0,0
3377015,Hairball Care,royal,1.5,7790187005099,Feline Care Nutrition ,gato,0,0,0
3378020,Digestive Care,royal,2,7790187005297,Feline Care Nutrition ,gato,0,0,0
3379004,Urinary Care,royal,0.4,7790187005112,Feline Care Nutrition ,gato,0,0,0
3379015,Urinary Care,royal,1.5,7790187005129,Feline Care Nutrition ,gato,0,0,0
3379075,Urinary Care,royal,7.5,7790187005136,Feline Care Nutrition ,gato,0,0,0
3390102,URINARY S/O CAT Pouch (12x100gr),royal,1.2,9003579305461,Veterinary Diet Cat (HÚMEDOS),gato,0,0,0
3391012,RENAL DOG Can (6x200gr),royal,1.2,7790187338883,Veterinary Diet Dog (HÚMEDOS),perro,0,0,0
3391102,DIGEST SENSITIVE Pouch (12x85g),royal,1.02,9003579309537,Feline Care Nutrition (HÚMEDOS),gato,0,0,0
3391212,SENIOR Consult - Stage 1 (12*100gr),royal,1.2,9003579311240,Veterinary Diet Cat (HÚMEDOS),gato,0,0,0
3391312,SENIOR Consult - Stage 2 (12*100gr),royal,1.2,9003579311257,Veterinary Diet Cat (HÚMEDOS),gato,0,0,0
3392112,HEPATIC Can (6x200gr),royal,1.2,7790187338555,Veterinary Diet Dog (HÚMEDOS),perro,0,0,0
3393102,INSTINCTIVE Pouch (12x85g),royal,1.02,9003579308936,Feline Health Nutrition (HÚMEDOS),gato,0,0,0
3394102,INSTINCTIVE 7+ Pouch (12x85g),royal,1.02,9003579310168,Feline Health Nutrition (HÚMEDOS),gato,0,0,0
3394112,G-INTESTINAL LOW FAT DOG Can (6x200gr),royal,1.2,7790187338562,Veterinary Diet Dog (HÚMEDOS),perro,0,0,0
3396102,INTENSE BEAUTY Pouch (12x85g),royal,1.02,9003579308929,Feline Care Nutrition (HÚMEDOS),gato,0,0,0
3396112,G-INTESTINAL DOG Can (6x200gr),royal,1.2,7790187338579,Veterinary Diet Dog (HÚMEDOS),perro,0,0,0
3397112,HYPOALLERGENIC DOG Can (6x200gr),royal,1.2,7790187338586,Veterinary Diet Dog (HÚMEDOS),perro,0,0,0
3398102,ULTRA LIGHT Pouch (12x85g),royal,1.02,9003579308769,Feline Care Nutrition (HÚMEDOS),gato,0,0,0
3398812,GASTROINTESTINAL Pouch (12x100gr),royal,1.2,9003579005712,Veterinary Diet Cat (HÚMEDOS),gato,0,0,0
3399217,DIABETIC SPECIAL DOG Can (6x195gr),royal,1.17,7790187339385,Veterinary Diet Dog (HÚMEDOS),perro,0,0,0
3400002,RENAL DOG Liquid (3x200ml),royal,600ml,3182550858854,Veterinary Diet Dog & Cat (LIQUID),perro,0,0,0
3400102,RENAL CHICKEN CAT Pouch (12x85gr),royal,1.02,9003579000458,Veterinary Diet Cat (HÚMEDOS),gato,0,0,0
3401002,RENAL CAT Liquid (3x200ml),royal,600ml,3182559299139,Veterinary Diet Dog & Cat (LIQUID),gato,0,0,0
3401198,"FHN KITTEN INSTINCTIVE (12x0,165)",royal,1.98,7790187339002,Feline Health Nutrition (HÚMEDOS),gato,0,0,0
3402002,RECOVERY CAT/DOG Liquid (3x200ml),royal,600ml,3182559299078,Veterinary Diet Dog & Cat (LIQUID),gato,0,0,0
3402198,RECOVERY CAT/DOG Can (12x165gr),royal,1.98,7790187338937,Veterinary Diet Dog & Cat (HÚMEDOS),gato,0,0,0
3403102,YORKSHIRE Pouch (12x85gr) ,royal,1.02,9003579001448,Breed Health Nutrition (HUMEDOS),perro,0,0,0
3403198,"STARTER MOUSSE (6x0,165gr)",royal,0.99kg,7790187338944,SIZE HEALTH NUTRITION (humedos),gato,0,0,0
3404102,POODLE Pouch (12x85gr) ,royal,1.02,9003579001653,Breed Health Nutrition (HUMEDOS),perro,0,0,0
3603004,Fit ,royal,0.4,7790187339323,In & Outdoor,gato,0,0,0
3603015,Fit ,royal,1.5,7790187339330,In & Outdoor,gato,0,0,0
3603075,Fit ,royal,7.5,7790187339347,In & Outdoor,gato,0,0,0
3603150,Fit ,royal,15,7790187339354,In & Outdoor,gato,0,0,0
3613004,Indoor,royal,0.4,7790187338708,Indoor,gato,0,0,0
3613015,Indoor,royal,1.5,7790187338715,Indoor,gato,0,0,0
3613075,Indoor,royal,7.5,7790187338722,Indoor,gato,0,0,0
3623015,Indoor longhair ,royal,1.5,7790187339460,Indoor,gato,0,0,0
3630004,Sensible 33,royal,0.4,7790187100381,Special,gato,0,0,0
3630020,Sensible 34,royal,2,7790187100398,Special,gato,0,0,0
3630075,Sensible 35,royal,7.5,7790187005266,Special,gato,0,0,0
3643004,Exigent ,royal,0.4,7790187339392,Special,gato,0,0,0
3643015,Exigent ,royal,1.5,7790187339408,Special,gato,0,0,0
3653015,Active 7+,royal,1.5,7790187339415,In & Outdoor,gato,0,0,0
3663004,Indoor 7+,royal,0.4,7790187338739,Indoor,gato,0,0,0
3663015,Indoor 7+,royal,1.5,7790187338746,Indoor,gato,0,0,0
3663075,Indoor 7+,royal,7.5,7790187338753,Indoor,gato,0,0,0
3670004,Babycat 34,royal,0.4,7790187100015,Growth,gato,0,0,0
3670020,Babycat 34,royal,2,7790187100022,Growth,gato,0,0,0
3680020,Kitten,royal,2,7790187100060,Growth,gato,0,0,0
3683004,Kitten,royal,0.4,7790187338678,Growth,gato,0,0,0
3683075,Kitten,royal,7.5,7790187338692,Growth,gato,0,0,0
3710010,Ovejero Alemán Junior ,royal,1,7790187338654,Breed Health Nutrition,perro,0,0,0
3710120,Ovejero Alemán Adulto,royal,12,7790187005310,Breed Health Nutrition,perro,0,0,0
3711120,Labrador Retriever Adulto,royal,12,7790187005402,Breed Health Nutrition,perro,0,0,0
3712010,Caniche Junior,royal,1,7790187005518,Breed Health Nutrition,perro,0,0,0
3712030,Caniche Junior,royal,3,7790187005501,Breed Health Nutrition,perro,0,0,0
3712120,Ovejero Alemán Junior ,royal,12,7790187005426,Breed Health Nutrition,perro,0,0,0
3713010,Yorkshire Terrier Junior,royal,1,7790187005549,Breed Health Nutrition,perro,0,0,0
3713030,Yorkshire Terrier Junior,royal,3,7790187005532,Breed Health Nutrition,perro,0,0,0
3714010,Boxer Junior ,royal,1,7790187338647,Breed Health Nutrition,perro,0,0,0
3714120,Boxer Junior ,royal,12,7790187005372,Breed Health Nutrition,perro,0,0,0
3715120,Golden Retriever Adulto,royal,12,7790187005419,Breed Health Nutrition,perro,0,0,0
3716010,Golden Retriever Junior ,royal,1,7790187338630,Breed Health Nutrition,perro,0,0,0
3716120,Golden Retriever Junior ,royal,12,7790187005358,Breed Health Nutrition,perro,0,0,0
3721010,Labrador Retriever Junior ,royal,1,7790187338661,Breed Health Nutrition,perro,0,0,0
3721120,Labrador Retriever Junior ,royal,12,7790187005440,Breed Health Nutrition,perro,0,0,0
3740010,Yorkshire Terrier Adulto,royal,1,7790187005389,Breed Health Nutrition,perro,0,0,0
3740030,Yorkshire Terrier Adulto,royal,3,7790187005396,Breed Health Nutrition,perro,0,0,0
3741010,Caniche Adulto,royal,1,7790187005327,Breed Health Nutrition,perro,0,0,0
3741030,Caniche Adulto,royal,3,7790187005334,Breed Health Nutrition,perro,0,0,0
3741075,Caniche Adulto,royal,7.5,7790187005341,Breed Health Nutrition,perro,0,0,0
3742030,Dachshund Adulto,royal,3,7790187005471,Breed Health Nutrition,perro,0,0,0
3744030,Schnauzer Miniature Adulto,royal,3,7790187005433,Breed Health Nutrition,perro,0,0,0
3745120,Bulldog Adulto,royal,12,7790187005464,Breed Health Nutrition,perro,0,0,0
3746010,Chihuahua Adulto,royal,1,7790187005525,Breed Health Nutrition,perro,0,0,0
3746030,Bulldog Francés Adulto,royal,3,7790187005365,Breed Health Nutrition,perro,0,0,0
3746075,Bulldog Francés Adulto,royal,7.5,7790187005495,Breed Health Nutrition,perro,0,0,0
3747010,Bulldog Frances Junior ,royal,1,7790187338791,Breed Health Nutrition,perro,0,0,0
3747030,Bulldog Frances Junior ,royal,3,7790187005488,Breed Health Nutrition,perro,0,0,0
4214020,Club Performance Dog Adulto ,royal,2,7790187338814,Club Performance  PERRO,perro,0,0,0
4214075,Club Performance Dog Adulto ,royal,7.5,7790187003835,Club Performance  PERRO,perro,0,0,0
4214150,Club Performance Dog Adulto ,royal,15,7790187003842,Club Performance  PERRO,perro,0,0,0
4214200,Club Performance Dog Adulto ,royal,20,7790187003866,Club Performance  PERRO,perro,0,0,0
